28-Dec-2025 11.02.41	CetagoryId Error in GetProducts()
28-Dec-2025 11.03.44	SubCetagoryName Error in GetProducts()
28-Dec-2025 11.08.25	Price Error in GetProducts()
28-Dec-2025 11.17.36	Invalid column name 'ProductsId'. Error in DeleteProducts()
28-Dec-2025 11.19.06	Invalid column name 'ProductsId'. Error in DeleteProducts()
28-Dec-2025 22.40.44	SellerName Error in GetSellerInventory()
28-Dec-2025 22.42.28	TotalPrice Error in GetSellerInventory()
28-Dec-2025 22.51.11	Procedure or function 'sp_UpdateSellerInventory' expects parameter '@InventoryId', which was not supplied. Error in UpdateSellerInventory()
28-Dec-2025 22.54.00	Procedure or function sp_UpdateSellerInventory has too many arguments specified. Error in UpdateSellerInventory()
